CompanyName,Symbol,Sector,Keyword,Index
20 Microns Limited,20MICRONS,NS,"20 Microns, 20 microns, 20 microns limited, 20MICRONS",NI
21St Century Mgmt Service,21STCENMGM,NS,"21st Cent Mgt, 21st Century Management, 21st Century mgmt, 21st century mgmt service, 21STCENMGM",NI
360 One Wam Limited,360ONE,"NIFTY FINANCIAL SERVICES EX-BANK, NIFTY MIDSMALL FINANCIAL SERVICES","360 One, 360 one wam, 360 One Wam, 360 one wam limited, 360ONE","NIFTY 200, NIFTY 500"
3I Infotech Limited,3IINFOLTD,NS,"3I Infotech, 3i infotech, 3i infotech limited, 3IINFOLTD",NI
3M India Limited,3MINDIA,NS,"3M India, 3m india, 3m india limited, 3MINDIA",NIFTY 500
3P Land Holdings Limited,3PLAND,NS,"3P Land, 3p land holdings, 3P Land Holdings, 3p land holdings limited, 3PLAND",NI
5Paisa Capital Limited,5PAISA,NS,"5paisa, 5PAISA, 5Paisa Capital, 5paisa capital, 5paisa capital limited",NI
63 Moons Technologies Limited,63MOONS,NS,"63 Moons, 63 Moons Tech, 63 moons technologies, 63 Moons Technologies, 63 moons technologies limited, 63MOONS",NI
A2Z Infra Engineering Limited,A2ZINFRA,NS,"A2Z Group, A2Z Infra, a2z infra engineering, A2Z Infra Engineering, a2z infra engineering limited, A2ZINFRA",NI
Aadhar Housing Finance L,AADHARHFC,NS,"Aadhar Housing, Aadhar Housing Finance, aadhar housing finance l, AADHARHFC",NIFTY 500
Aakash Exploration Ser L,AAKASH,NS,"AAKASH, Aakash Exploration, aakash exploration ser l, Aakash Exploration Services, AESL",NI
Aaron Industries Limited,AARON,NS,"AARON, Aaron Industries, aaron industries, aaron industries limited",NI
Aartech Solonics Limited,AARTECH,NS,"AARTECH, Aartech, aartech solonics, Aartech Solonics, aartech solonics limited",NI
Aarti Drugs Ltd.,AARTIDRUGS,NS,"aarti drugs, Aarti Drugs, aarti drugs ltd., AARTIDRUGS",NI
Aarti Industries Limited,AARTIIND,NIFTY CHEMICALS,"aarti industries, Aarti Industries, aarti industries limited, AARTIIND",NIFTY 500
Aarti Pharmalabs Limited,AARTIPHARM,NS,"Aarti Pharmalabs, aarti pharmalabs, aarti pharmalabs limited, AARTIPHARM",NI
Aarti Surfactants Limited,AARTISURF,NS,"aarti surfactants, Aarti Surfactants, aarti surfactants limited, AARTISURF",NI
Aarvi Encon Limited,AARVI,NS,"AARVI, Aarvi Encon, aarvi encon, aarvi encon limited",NI
Aavas Financiers Limited,AAVAS,NS,"AAVAS, Aavas Financiers, aavas financiers, aavas financiers limited",NIFTY 500
Abb India Limited,ABB,NS,"ABB, Abb India, abb india, abb india limited","NIFTY 100, NIFTY 200, NIFTY 500, NIFTY NEXT 50"
Abbott India Limited,ABBOTINDIA,"NIFTY HEALTHCARE INDEX, NIFTY MIDSMALL HEALTHCARE, NIFTY PHARMA, NIFTY500 HEALTHCARE","ABBOTINDIA, abbott india, Abbott India, abbott india limited",NIFTY 500
